datetime_UTC;PT;PL
01-01-2019 00:51;798.59;798.59
01-01-2019 00:59;798.59;798.59
01-01-2019 01:03;798.59;798.59
01-01-2019 01:08;798.59;798.59
01-01-2019 01:27;800.98;800.98
01-01-2019 01:44;803.36;803.36
01-01-2019 01:44;805.57;805.57
01-01-2019 01:57;807.77;807.77
01-01-2019 02:04;809.98;809.98
01-01-2019 02:18;812.18;812.18
01-01-2019 02:20;821;821
01-01-2019 02:21;826.4;826.4
01-01-2019 02:38;831.81;831.81
01-01-2019 02:41;837.21;837.21
01-01-2019 02:53;842.61;842.61
01-01-2019 02:54;848.02;848.02
01-01-2019 02:56;853.42;853.42
01-01-2019 02:57;861.29;861.29
01-01-2019 03:12;869.16;869.16
01-01-2019 03:17;877.03;877.03
01-01-2019 03:29;884.89;884.89
01-01-2019 03:32;900.63;900.63
01-01-2019 03:34;913.27;913.27
01-01-2019 03:48;925.9;925.9
01-01-2019 03:54;938.54;938.54
01-01-2019 04:05;951.17;951.17
01-01-2019 04:08;976.44;976.44
01-01-2019 04:10;992.65;992.65
01-01-2019 04:24;1008.86;1008.86
01-01-2019 04:30;1025.08;1025.08
01-01-2019 04:41;1041.29;1041.29
01-01-2019 04:44;1073.71;1073.71
01-01-2019 04:47;1075.46;1075.46
01-01-2019 04:48;1077.21;1077.21
01-01-2019 04:58;1078.96;1078.96
01-01-2019 05:00;1070.37;1080.7
01-01-2019 05:07;1066.37;1084.2
01-01-2019 05:17;1064.88;1087.7
01-01-2019 05:20;1066.87;1094.69
01-01-2019 05:20;1059.3;1092.11
01-01-2019 05:23;1054.48;1089.52
01-01-2019 05:33;1049.68;1086.94
01-01-2019 05:36;1045.98;1084.36
01-01-2019 05:39;1042.28;1081.77
01-01-2019 05:43;1057.56;1079.19
01-01-2019 05:51;1072.84;1076.61
01-01-2019 05:53;1082.69;1074.02
01-01-2019 05:56;1084.8;1063.69
01-01-2019 05:58;1095.97;1062.42
01-01-2019 06:02;1132.02;1061.15
01-01-2019 06:06;1176.65;1059.88
01-01-2019 06:08;1221.27;1058.6
01-01-2019 06:12;1250.68;1057.33
01-01-2019 06:14;1280.46;1056.43
01-01-2019 06:15;1340.92;1055.52
01-01-2019 06:18;1401.37;1054.61
01-01-2019 06:20;1453.71;1053.7
01-01-2019 06:24;1506.06;1052.79
01-01-2019 06:26;1558.4;1051.88
01-01-2019 06:29;1603.1;1050.98
